model,dataset,testsize,metric_set,metric,value
LinearRegression(),dataset_5,0.7,Non-CV,R2_Score,0.9998646930195644
LinearRegression(),dataset_5,0.7,Non-CV,MSE_Score,2.5643655759566336e-05
LinearRegression(),dataset_5,0.7,Non-CV,MAE_Score,2.564365579757655e-05
LinearRegression(),dataset_5,0.7,Non-CV,RMSE_Score,0.0050639565321560906
LinearRegression(),dataset_5,0.7,Non-CV,RMSLE_Score,-5.285607177874557
LinearRegression(),dataset_5,0.7,10 Fold-CV,Mean_Score,0.9999049114247617
LinearRegression(),dataset_5,0.7,10 Fold-CV,Min_Score,0.9995245571238086
LinearRegression(),dataset_5,0.7,10 Fold-CV,Max_Score,1.0
LinearRegression(),dataset_5,0.7,10 Fold-CV,cv_scores,[1.         0.99952456 1.         1.         1.        ]
LinearRegression(),dataset_6,0.7,Non-CV,R2_Score,0.012826540106409268
LinearRegression(),dataset_6,0.7,Non-CV,MSE_Score,0.9826539762323929
LinearRegression(),dataset_6,0.7,Non-CV,MAE_Score,0.76748451074235
LinearRegression(),dataset_6,0.7,Non-CV,RMSE_Score,0.9912890477718358
LinearRegression(),dataset_6,0.7,Non-CV,RMSLE_Score,-0.008749114353117466
LinearRegression(),dataset_6,0.7,10 Fold-CV,Mean_Score,0.013605925350972825
LinearRegression(),dataset_6,0.7,10 Fold-CV,Min_Score,0.010482314297144746
LinearRegression(),dataset_6,0.7,10 Fold-CV,Max_Score,0.017467105888436807
LinearRegression(),dataset_6,0.7,10 Fold-CV,cv_scores,[0.01048231 0.01746711 0.01554477 0.01093946 0.01359597]
LinearRegression(),dataset_7,0.7,Non-CV,R2_Score,-2.167583220762104e+19
LinearRegression(),dataset_7,0.7,Non-CV,MSE_Score,2.1576595778072203e+19
LinearRegression(),dataset_7,0.7,Non-CV,MAE_Score,94913390.90583377
LinearRegression(),dataset_7,0.7,Non-CV,RMSE_Score,4645061439.644497
LinearRegression(),dataset_7,0.7,Non-CV,RMSLE_Score,22.259070436174145
LinearRegression(),dataset_7,0.7,10 Fold-CV,Mean_Score,-1.1893070668153582e+20
LinearRegression(),dataset_7,0.7,10 Fold-CV,Min_Score,-3.145271205035501e+20
LinearRegression(),dataset_7,0.7,10 Fold-CV,Max_Score,-1.5541391058520746e+19
LinearRegression(),dataset_7,0.7,10 Fold-CV,cv_scores,"[-1.55413911e+19 -3.14527121e+20 -3.98773347e+19 -1.53991386e+20
 -7.07163009e+19]"
LinearRegression(),dataset_8,0.7,Non-CV,R2_Score,-1.4353013017481014e+20
LinearRegression(),dataset_8,0.7,Non-CV,MSE_Score,1.4287301964199195e+20
LinearRegression(),dataset_8,0.7,Non-CV,MAE_Score,759965323.8230377
LinearRegression(),dataset_8,0.7,Non-CV,RMSE_Score,11952950248.452972
LinearRegression(),dataset_8,0.7,Non-CV,RMSLE_Score,23.204243967569138
LinearRegression(),dataset_8,0.7,10 Fold-CV,Mean_Score,-1.602311605606407e+20
LinearRegression(),dataset_8,0.7,10 Fold-CV,Min_Score,-6.503596790452135e+20
LinearRegression(),dataset_8,0.7,10 Fold-CV,Max_Score,-2.2121729469780577e+18
